id;name;description;created_at;deleted;duration
1;аналитик Saudi Новгородская;vortals;2021-06-28T08:12:40;true;64727
2;здоровье Хлопковый Хлопковый;models architectures;2021-06-27T16:09:41;false;18098
3;impactful Великолепный Account;разработчик;2021-06-27T16:35:19;false;59650
4;Америки budgetary;deposit Operative проспект;2021-06-27T20:57:41;false;93535
5;Неодимовый;многобайтный Profit-focused;2021-06-27T21:01:56;false;87215
6;Cedi Свитер;Avon Приморский proactive;2021-06-27T14:09:35;true;78077
7;Интеллектуальный Национальный темно-фиолетовый;темно-фиолетовый;2021-06-27T18:27:45;false;22826
8;Falkland;Colombian;2021-06-27T17:03:31;false;44476
9;парсер;навигация Avon;2021-06-28T03:38:25;true;74000
10;область проспект зеленый;Сенегал Хлопковый;2021-06-27T16:31:10;true;22631
